ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
195,01196,PULMON TB NOS-OTH TEST,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,01200,TB PLEURISY-UNSPEC,"Tuberculous pleurisy, unspecified"
197,01201,TB PLEURISY-NO EXAM,"Tuberculous pleurisy, bacteriological or histological examination not done"
198,01202,TB PLEURISY-EXAM UNKN,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,01203,TB PLEURISY-MICRO DX,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,01204,TB PLEURISY-CULT DX,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,01205,TB PLEURISY-HISTOLOG DX,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,01206,TB PLEURISY-OTH TEST,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
203,01210,TB THORACIC NODES-UNSPEC,"Tuberculosis of intrathoracic lymph nodes, unspecified"
204,01211,TB THORAX NODE-NO EXAM,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
205,01212,TB THORAX NODE-EXAM UNKN,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
206,01213,TB THORAX NODE-MICRO DX,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
207,01214,TB THORAX NODE-CULT DX,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
208,01215,TB THORAX NODE-HISTO DX,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
209,01216,TB THORAX NODE-OTH TEST,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
210,01220,ISOL TRACHEAL TB-UNSPEC,"Isolated tracheal or bronchial tuberculosis, unspecified"
211,01221,ISOL TRACHEAL TB-NO EXAM,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
212,01222,ISOL TRACH TB-EXAM UNKN,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
213,01223,ISOLAT TRACH TB-MICRO DX,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
214,01224,ISOL TRACHEAL TB-CULT DX,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
215,01225,ISOLAT TRACH TB-HISTO DX,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
216,01226,ISOLAT TRACH TB-OTH TEST,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
217,01230,TB LARYNGITIS-UNSPEC,"Tuberculous laryngitis, unspecified"
218,01231,TB LARYNGITIS-NO EXAM,"Tuberculous laryngitis, bacteriological or histological examination not done"
219,01232,TB LARYNGITIS-EXAM UNKN,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
220,01233,TB LARYNGITIS-MICRO DX,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
221,01234,TB LARYNGITIS-CULT DX,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
222,01235,TB LARYNGITIS-HISTO DX,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
604,01792,TB ORGAN NEC-EXAM UNKN,"Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
223,01236,TB LARYNGITIS-OTH TEST,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,01280,RESP TB NEC-UNSPEC,"Other specified respiratory tuberculosis, unspecified"
225,01281,RESP TB NEC-NO EXAM,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,01282,RESP TB NEC-EXAM UNKN,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,01283,RESP TB NEC-MICRO DX,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,01284,RESP TB NEC-CULT DX,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,01285,RESP TB NEC-HISTO DX,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,01286,RESP TB NEC-OTH TEST,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,01300,TB MENINGITIS-UNSPEC,"Tuberculous meningitis, unspecified"
232,01301,TB MENINGITIS-NO EXAM,"Tuberculous meningitis, bacteriological or histological examination not done"
233,0010,CHOLERA D/T VIB CHOLERAE,Cholera due to vibrio cholerae
234,0011,CHOLERA D/T VIB EL TOR,Cholera due to vibrio cholerae el tor
235,0019,CHOLERA NOS,"Cholera, unspecified"
236,0020,TYPHOID FEVER,Typhoid fever
237,0021,PARATYPHOID FEVER A,Paratyphoid fever A
238,0022,PARATYPHOID FEVER B,Paratyphoid fever B
239,0023,PARATYPHOID FEVER C,Paratyphoid fever C
240,0029,PARATYPHOID FEVER NOS,"Paratyphoid fever, unspecified"
241,0030,SALMONELLA ENTERITIS,Salmonella gastroenteritis
242,0031,SALMONELLA SEPTICEMIA,Salmonella septicemia
243,00320,LOCAL SALMONELLA INF NOS,"Localized salmonella infection, unspecified"
244,00321,SALMONELLA MENINGITIS,Salmonella meningitis
245,00322,SALMONELLA PNEUMONIA,Salmonella pneumonia
246,00323,SALMONELLA ARTHRITIS,Salmonella arthritis
247,00324,SALMONELLA OSTEOMYELITIS,Salmonella osteomyelitis
248,00329,LOCAL SALMONELLA INF NEC,Other localized salmonella infections
249,0038,SALMONELLA INFECTION NEC,Other specified salmonella infections
250,0039,SALMONELLA INFECTION NOS,"Salmonella infection, unspecified"
251,0040,SHIGELLA DYSENTERIAE,Shigella dysenteriae
252,0041,SHIGELLA FLEXNERI,Shigella flexneri
253,0042,SHIGELLA BOYDII,Shigella boydii
254,0043,SHIGELLA SONNEI,Shigella sonnei
255,0048,SHIGELLA INFECTION NEC,Other specified shigella infections
256,0049,SHIGELLOSIS NOS,"Shigellosis, unspecified"
257,0050,STAPH FOOD POISONING,Staphylococcal food poisoning
258,0051,BOTULISM FOOD POISONING,Botulism food poisoning
259,0052,FOOD POIS D/T C. PERFRIN,Food poisoning due to Clostridium perfringens (C. welchii)
260,0053,FOOD POIS: CLOSTRID NEC,Food poisoning due to other Clostridia
261,0054,FOOD POIS: V. PARAHAEM,Food poisoning due to Vibrio parahaemolyticus
262,00581,FOOD POISN D/T V. VULNIF,Food poisoning due to Vibrio vulnificus
263,00589,BACT FOOD POISONING NEC,Other bacterial food poisoning
264,0059,FOOD POISONING NOS,"Food poisoning, unspecified"
265,0060,AC AMEBIASIS W/O ABSCESS,Acute amebic dysentery without mention of abscess
266,0061,CHR AMEBIASIS W/O ABSCES,Chronic intestinal amebiasis without mention of abscess
267,0062,AMEBIC NONDYSENT COLITIS,Amebic nondysenteric colitis
268,01676,TB FEM GEN NEC-OTH TEST,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
269,01690,GU TB NOS-UNSPEC,"Genitourinary tuberculosis, unspecified, unspecified"
270,01691,GU TB NOS-NO EXAM,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination not done"
271,01692,GU TB NOS-EXAM UNKN,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
272,01693,GU TB NOS-MICRO DX,"Genitourinary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
273,01694,GU TB NOS-CULT DX,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
274,01695,GU TB NOS-HISTO DX,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
275,01696,GU TB NOS-OTH TEST,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
276,01700,TB SKIN/SUBCUTAN-UNSPEC,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified"
277,01701,TB SKIN/SUBCUT-NO EXAM,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
278,01702,TB SKIN/SUBCUT-EXAM UNKN,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination unknown (at present)"
279,01703,TB SKIN/SUBCUT-MICRO DX,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli found (in sputum) by microscopy"
280,01704,TB SKIN/SUBCUT-CULT DX,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
281,01705,TB SKIN/SUBCUT-HISTO DX,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
282,01706,TB SKIN/SUBCUT-OTH TEST,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
283,01710,ERYTHEMA NODOS TB-UNSPEC,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
284,01711,ERYTHEM NODOS TB-NO EXAM,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
285,01712,ERYTHEM NOD TB-EXAM UNKN,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination unknown (at present)"
286,01713,ERYTHEM NOD TB-MICRO DX,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli found (in sputum) by microscopy"
287,01714,ERYTHEM NODOS TB-CULT DX,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
288,01715,ERYTHEM NOD TB-HISTO DX,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1,01716,ERYTHEM NOD TB-OTH TEST,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
2,01720,TB PERIPH LYMPH-UNSPEC,"Tuberculosis of peripheral lymph nodes, unspecified"
3,01721,TB PERIPH LYMPH-NO EXAM,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
4,01722,TB PERIPH LYMPH-EXAM UNK,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)"
5,01723,TB PERIPH LYMPH-MICRO DX,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
6,01724,TB PERIPH LYMPH-CULT DX,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
7,01725,TB PERIPH LYMPH-HISTO DX,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
8,01726,TB PERIPH LYMPH-OTH TEST,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
9,01730,TB OF EYE-UNSPEC,"Tuberculosis of eye, unspecified"
10,01731,TB OF EYE-NO EXAM,"Tuberculosis of eye, bacteriological or histological examination not done"
11,01732,TB OF EYE-EXAM UNKN,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)"
12,01733,TB OF EYE-MICRO DX,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
13,01734,TB OF EYE-CULT DX,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
14,01735,TB OF EYE-HISTO DX,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
15,01736,TB OF EYE-OTH TEST,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
16,01740,TB OF EAR-UNSPEC,"Tuberculosis of ear, unspecified"
17,01741,TB OF EAR-NO EXAM,"Tuberculosis of ear, bacteriological or histological examination not done"
18,01742,TB OF EAR-EXAM UNKN,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)"
19,01743,TB OF EAR-MICRO DX,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
20,01744,TB OF EAR-CULT DX,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
21,01745,TB OF EAR-HISTO DX,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
22,01746,TB OF EAR-OTH TEST,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
23,01750,TB OF THYROID-UNSPEC,"Tuberculosis of thyroid gland, unspecified"
24,01751,TB OF THYROID-NO EXAM,"Tuberculosis of thyroid gland, bacteriological or histological examination not done"
25,01752,TB OF THYROID-EXAM UNKN,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
26,01753,TB OF THYROID-MICRO DX,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy"
27,01754,TB OF THYROID-CULT DX,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
28,01755,TB OF THYROID-HISTO DX,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
29,01756,TB OF THYROID-OTH TEST,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
30,01760,TB OF ADRENAL-UNSPEC,"Tuberculosis of adrenal glands, unspecified"
31,01761,TB OF ADRENAL-NO EXAM,"Tuberculosis of adrenal glands, bacteriological or histological examination not done"
32,01762,TB OF ADRENAL-EXAM UNKN,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
33,01763,TB OF ADRENAL-MICRO DX,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
34,01764,TB OF ADRENAL-CULT DX,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
35,01765,TB OF ADRENAL-HISTO DX,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
36,01766,TB OF ADRENAL-OTH TEST,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
37,01770,TB OF SPLEEN-UNSPEC,"Tuberculosis of spleen, unspecified"
38,01771,TB OF SPLEEN-NO EXAM,"Tuberculosis of spleen, bacteriological or histological examination not done"
39,01772,TB OF SPLEEN-EXAM UNKN,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
40,01773,TB OF SPLEEN-MICRO DX,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
41,01774,TB OF SPLEEN-CULT DX,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
42,01775,TB OF SPLEEN-HISTO DX,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
43,01776,TB OF SPLEEN-OTH TEST,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
44,01780,TB ESOPHAGUS-UNSPEC,"Tuberculosis of esophagus, unspecified"
45,01781,TB ESOPHAGUS-NO EXAM,"Tuberculosis of esophagus, bacteriological or histological examination not done"
46,01782,TB ESOPHAGUS-EXAM UNKN,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)"
47,01783,TB ESOPHAGUS-MICRO DX,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy"
48,01784,TB ESOPHAGUS-CULT DX,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
49,01785,TB ESOPHAGUS-HISTO DX,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
50,01786,TB ESOPHAGUS-OTH TEST,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
51,01790,TB OF ORGAN NEC-UNSPEC,"Tuberculosis of other specified organs, unspecified"
52,01791,TB OF ORGAN NEC-NO EXAM,"Tuberculosis of other specified organs, bacteriological or histological examination not done"
53,0063,AMEBIC LIVER ABSCESS,Amebic liver abscess
54,0064,AMEBIC LUNG ABSCESS,Amebic lung abscess
55,0065,AMEBIC BRAIN ABSCESS,Amebic brain abscess
56,0066,AMEBIC SKIN ULCERATION,Amebic skin ulceration
57,0068,AMEBIC INFECTION NEC,Amebic infection of other sites
58,0069,AMEBIASIS NOS,"Amebiasis, unspecified"
59,0070,BALANTIDIASIS,Balantidiasis
60,0071,GIARDIASIS,Giardiasis
61,0072,COCCIDIOSIS,Coccidiosis
62,0073,INTEST TRICHOMONIASIS,Intestinal trichomoniasis
63,0074,CRYPTOSPORIDIOSIS,Cryptosporidiosis
64,0075,CYCLOSPORIASIS,Cyclosporiasis
65,0078,PROTOZOAL INTEST DIS NEC,Other specified protozoal intestinal diseases
66,0079,PROTOZOAL INTEST DIS NOS,Unspecified protozoal intestinal disease
67,00800,INTEST INFEC E COLI NOS,"Intestinal infection due to E. coli, unspecified"
68,00801,INT INF E COLI ENTRPATH,Intestinal infection due to enteropathogenic E. coli
69,00802,INT INF E COLI ENTRTOXGN,Intestinal infection due to enterotoxigenic E. coli
70,00803,INT INF E COLI ENTRNVSV,Intestinal infection due to enteroinvasive E. coli
71,00804,INT INF E COLI ENTRHMRG,Intestinal infection due to enterohemorrhagic E. coli
72,00809,INT INF E COLI SPCF NEC,Intestinal infection due to other intestinal E. coli infections
73,0081,ARIZONA ENTERITIS,Intestinal infection due to arizona group of paracolon bacilli
74,0082,AEROBACTER ENTERITIS,Intestinal infection due to aerobacter aerogenes
75,0083,PROTEUS ENTERITIS,Intestinal infection due to proteus (mirabilis) (morganii)
76,00841,STAPHYLOCOCC ENTERITIS,Intestinal infection due to staphylococcus
77,00842,PSEUDOMONAS ENTERITIS,Intestinal infection due to pseudomonas
78,00843,INT INFEC CAMPYLOBACTER,Intestinal infection due to campylobacter
79,00844,INT INF YRSNIA ENTRCLTCA,Intestinal infection due to yersinia enterocolitica
80,00845,INT INF CLSTRDIUM DFCILE,Intestinal infection due to Clostridium difficile
81,00846,INTES INFEC OTH ANEROBES,Intestinal infection due to other anaerobes
82,00847,INT INF OTH GRM NEG BCTR,Intestinal infection due to other gram-negative bacteria
83,00849,BACTERIAL ENTERITIS NEC,Intestinal infection due to other organisms
84,0085,BACTERIAL ENTERITIS NOS,"Bacterial enteritis, unspecified"
85,00861,INTES INFEC ROTAVIRUS,Enteritis due to rotavirus
86,00862,INTES INFEC ADENOVIRUS,Enteritis due to adenovirus
87,00863,INT INF NORWALK VIRUS,Enteritis due to norwalk virus
88,00864,INT INF OTH SML RND VRUS,Enteritis due to other small round viruses [SRV's]
89,00865,ENTERITIS D/T CALICIVIRS,Enteritis due to calicivirus
90,00866,INTES INFEC ASTROVIRUS,Enteritis due to astrovirus
91,00867,INT INF ENTEROVIRUS NEC,Enteritis due to enterovirus nec
92,00869,OTHER VIRAL INTES INFEC,Enteritis due to other viral enteritis
93,0088,VIRAL ENTERITIS NOS,"Intestinal infection due to other organism, not elsewhere classified"
94,0090,INFECTIOUS ENTERITIS NOS,"Infectious colitis, enteritis, and gastroenteritis"
95,0091,ENTERITIS OF INFECT ORIG,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
96,0092,INFECTIOUS DIARRHEA NOS,Infectious diarrhea
97,0093,DIARRHEA OF INFECT ORIG,Diarrhea of presumed infectious origin
98,01000,PRIM TB COMPLEX-UNSPEC,"Primary tuberculous infection, unspecified"
99,01001,PRIM TB COMPLEX-NO EXAM,"Primary tuberculous infection, bacteriological or histological examination not done"
100,01002,PRIM TB COMPLEX-EXM UNKN,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,01003,PRIM TB COMPLEX-MICRO DX,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,01004,PRIM TB COMPLEX-CULT DX,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,01005,PRIM TB COMPLEX-HISTO DX,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,01006,PRIM TB COMPLEX-OTH TEST,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
105,01010,PRIM TB PLEURISY-UNSPEC,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
106,01011,PRIM TB PLEURISY-NO EXAM,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
107,01012,PRIM TB PLEUR-EXAM UNKN,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
108,01013,PRIM TB PLEURIS-MICRO DX,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
109,01014,PRIM TB PLEURISY-CULT DX,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,01015,PRIM TB PLEURIS-HISTO DX,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,01016,PRIM TB PLEURIS-OTH TEST,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
112,01080,PRIM PROG TB NEC-UNSPEC,"Other primary progressive tuberculosis, unspecified"
113,01081,PRIM PROG TB NEC-NO EXAM,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
114,01082,PRIM PR TB NEC-EXAM UNKN,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,01083,PRIM PRG TB NEC-MICRO DX,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,01084,PRIM PROG TB NEC-CULT DX,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,01085,PRIM PRG TB NEC-HISTO DX,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,01086,PRIM PRG TB NEC-OTH TEST,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,01090,PRIMARY TB NOS-UNSPEC,"Primary tuberculous infection, unspecified, unspecified"
120,01091,PRIMARY TB NOS-NO EXAM,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
121,01092,PRIMARY TB NOS-EXAM UNKN,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,01093,PRIMARY TB NOS-MICRO DX,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,01094,PRIMARY TB NOS-CULT DX,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,01095,PRIMARY TB NOS-HISTO DX,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
125,01096,PRIMARY TB NOS-OTH TEST,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
126,01100,TB LUNG INFILTR-UNSPEC,"Tuberculosis of lung, infiltrative, unspecified"
127,01101,TB LUNG INFILTR-NO EXAM,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
128,01102,TB LUNG INFILTR-EXM UNKN,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
129,01103,TB LUNG INFILTR-MICRO DX,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
130,01104,TB LUNG INFILTR-CULT DX,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
131,01105,TB LUNG INFILTR-HISTO DX,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
132,01106,TB LUNG INFILTR-OTH TEST,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
